tweet,label
@USER @USER باشماست  بیلتو به اخوندای اطرافت بزن برای ما ارزوهای بد نکن,TIN
RT @USER: بخواب کسکش,TIN
سوت ر بزن- پدسگ,TIN
RT @USER: گاهی آدم سهوا گوه میخوره. بنظرم باید با آدمی که سهوا گوه  میخوره نرمتر بود و سریع نگاییمش. هممون گاهی ندانسته گوه میخوریم. حت…,TIN
پاسخ به پنج سوال درباره مصاحبه با اتاق خبر  من و توو پاسخ به دروغهای تلویزیون من و تو درباره مبلغی که هرگز دریافت نکردم@URL,TIN
قشنگ داریم واسه چس تومن تو گه شنا می‌کنیم🤦‍♂️,UNT
@USER پزشک متخصص انقدر بی شعور؟!,TIN
احمق تفاوت بین قانون ساخت بشر و فیزیولوژی طبیعی بدن رو درک نمیکنه  ولی برای کسلیسی گوه میخوره، گوه میخوره قاشق قاشق گوه میخوره @URL,TIN
خلاصه بزرگتر که شد زد تو خط سریال کره‌ای و با این مرتیکه الدنگ ازدواج کرد بخاطر شباهتش با جومونگ الانم عاشق خواننده‌های ترکیه‌ای شده خدا بخیر بگذرونه @URL,TIN
@USER یعنی جمهوری اسلامی به من پول میدهد؟ یعنی دولت رسمی و قانونی کشوری که در آن به دنیا امده‌ام و شهروندش هستم به من حقوق میدهد؟ یعنی من هم مثل میلیونها معلم و کارمند و پرستار حقوق بگیر دولت ایرانم؟ به فرض حرفتان درست باشد. مزدور کسیست که از دولت خارجی پول میگیرد ابله، نه از کشور خودش,TIN
@USER @USER کونکش خر . بیا تحویل بگیر . @URL,TIN
@USER ره کس شش تیکه ای رو که پدرت براش زده رو به دوازده تا قسمتش کنم کص ننت کص خواهرت کص خواهر کص مادرت کص مادرت ننه ابی ننه کیر دزد کیر تتلو تو کص مادرت کیر عمو جانی برا خواهرت مال منم تو کص ناموست مال رفیقامم تو روح مردت کیرم تو مادر   کیر به کیرت  خیار سبز تو کص منت ابش بیاد روش,TIN
RT @USER: رفقای کسکش به روایت تصویر :)))))))))))) @URL,TIN
