tweet,label
@USER این کشتزار درست میگه، اساسا کسی که پریود میشه رو بدون معطلی باید اعدام کرد، هرزگی از این بیشتر هم مگه داریم؟ شاش سگ تو کله بابات خاطره با این بچه   پروار کردنش.,OTH
۱۳ آبان روز ملی مبارزه با استکبار جهانی هست، کوت کنید بگید چرا میگید #مرگ_بر_آمریکا؟    خودم: میگم #مرگ_بر_آمریکا چون هرجا ظلم و جنایت علیه بشریت هست آمریکا عاملشه,GRP
حالم داره بهم میخوره از توییتر از بس جنده و کونی دیدیم این چند روز.,OTH
@USER خود شما را هم پرت میکنن بیرون. یعنی چی اومده آمریکا زبون درازی هم میکنه؟- آمریکایی ها  اکثرا  مهاجرند و همه حق انتقاد دارند به ویژه اگر نماینده مردم باشند. اینکه یه ایرانی ای حرف را بزنه خنده داره.,IND
@USER شخصی و میشناسم الان ۱۲ سال داره تو سوئد زندگی میکنه، به هموطنش که دینش و از اسلام به مسیحیت تغییر داده میگه کافر و نجس ،تو رستوران نمیره چون فکر میکنه گوشت خوک سرو میشه،تو هیچ مراسم و مهمانی بخاطر سرو شراب حضور نداره،مگه سادیسم داری پفیوز برگرد  کشورت،اما پول سوسیال لقمه میزنه,IND
@USER @USER به شدت اصرار به نفهمیدن داری و دلیلش رو‌ هم فقط خودت میدونی، آخوند و غیرآخوند نداره، هرکس بدی می‌کنه باید تاوانش رو هم بده ولی منطقی و اصولی! اگر قرار باشه هرکی رو که مقصر می‌دونیم بسوزونیم و تیکه تیکه کنیم فقط تکرار تاریخه، فهمیدن این اینقدر سخته؟ @URL,IND
تفاوت علیز با علیژ (علینژاد) دیگه واقعا به دوتا نقطه رسیده. شهوت دوربین و نارسیسیزم بیمارگونه کم بود، ننه من غریبم بازی و خودقاشقچی‌پنداری هم بهش اضافه شد! بابا تو که دیگه حتا انگلیس هم نیستی، چه برسه به اون آدرس...,IND
-رشتت چیه؟ مهندسی خوندم -چرا؟ کس ننه ی این دکتر دوزاریایِ شوآف باز که هر سری این مدل ژانر کسشعر تو توییتر راه می ندازند که بگند مام دکتریم و عن خاصی هستیم و خسته ایم از شما خز و خیل های در و دهاتی و  اینا می ذارم. @URL,GRP
در جمهوری اسهالی ؛ زنان نقش انگل جامعه را دارند.  #جمهوری_اسلامی #جمهوری_فاسد_اسلامی #زنان #نقش_زن #نقش_زن_در_اسلام @URL,GRP
اینکه بگی در هر شرایطی متجاوز مقصره و بعد از تجاوز موقع آموزش پرهیز از شرایط پرخطر نیست می‌شه سفسطه و ادای روشنفکری. کاش انقدر گاو نبودی حداقل معنی سفسطه رو بلد بودی نه اینکه هر جا خواستی بگی حرفت غلطه بگی سفسطه که بشه دو کلمه بهت چیز جدید یاد داد. @URL,IND
اولین روز بعد از انقلاب و مرگ آخوند ها یه پیج میزنم واسه اجاره جنده اسمشم میذارم وینتیج کص⁦✔️⁩🔥,GRP
از جنده بودن هم فقط گه خوريش رو ياد گرفتين,IND
@USER پوکر بد داره جر میده ها😂😂😂😂از دیشب کار آتش‌نشانی زیاد شده😂😂😂😂کون ها همه در حال سوختنه😂😂😂😂از امروز جراح های کون هم کارشون زیاد میشه چون کون خیلیا با پوکر پرسپولیس پاره شده 😂😂😂😂😂,GRP
حالا درسته ما بهتون میگفتیم جنده توجه ولی فکر نمیکردیم جدی جدی جنده باشید واسه فیو استار شدن برید بدید,IND
گوشیم دو ماه بود مدام ری‌استارت می‌شد، دیشب بردمش تعمیرات، طرف گفت از باتریه. ۲۰۰ تومن دادم باتری‌شو عوض کردم امروز فهمیدم ایراد از باتری نیست. گوشیم بگا رفت. کامپیوترمم بگا رفت. و الان در بگاترین حالت‌ام.,OTH
#کرونا و درد، #کرونا و مرض,OTH
@USER بی شرف ، اونی که خاورمیانه رو نابود کرده اربابای تو هستن که به عراق و افغانستان لشکرکشی کردن، به لبنان حمله نظامی کردن، لیبی رو تکه پاره کردن به قاتلان کودکان لیبی سلاح دادن ... پست فطرت نباش,GRP
خبری که توسط منابع ناشناس و دروغپرداز درباره بلیت نداشتن ۵ بازیکن #استقلال، عصبانیت استراماچونی و سفر تیم با ۲ پرواز به تبریز منتشر شده، کذب و بی‌اساس است.,GRP
